year,winter,spring,summer,autumn,station_id,station_name
1927,649.0,216.2,74.3,511.1,1012573,DUNCAN KELVIN CREEK      
1928,340.6,306.5,64.2,304.6,1012573,DUNCAN KELVIN CREEK      
1929,213.2,200.8,69.4,97.6,1012573,DUNCAN KELVIN CREEK      
1930,478.2,219.6,38.8,200.8,1012573,DUNCAN KELVIN CREEK      
1931,382.0,196.9,173.6,242.6,1012573,DUNCAN KELVIN CREEK      
1932,352.5,263.3,169.0,182.6,1012573,DUNCAN KELVIN CREEK      
1933,300.8,269.3,82.9,435.1,1012573,DUNCAN KELVIN CREEK      
1934,784.8,247.9,80.7,466.0,1012573,DUNCAN KELVIN CREEK      
1935,867.8,217.8,106.2,226.4,1012573,DUNCAN KELVIN CREEK      
1936,532.9,170.9,139.1,100.6,1012573,DUNCAN KELVIN CREEK      
1937,585.8,301.8,168.6,419.8,1012573,DUNCAN KELVIN CREEK      
1938,570.0,221.2,44.5,248.3,1012573,DUNCAN KELVIN CREEK      
1939,646.1,135.8,129.0,309.0,1012573,DUNCAN KELVIN CREEK      
1940,748.0,308.7,86.9,349.3,1012573,DUNCAN KELVIN CREEK      
1941,584.3,203.3,110.4,466.3,1012573,DUNCAN KELVIN CREEK      
1942,427.9,160.3,75.9,305.2,1012573,DUNCAN KELVIN CREEK      
1943,479.2,358.5,92.5,242.6,1012573,DUNCAN KELVIN CREEK      
1944,365.0,167.8,37.8,323.4,1012573,DUNCAN KELVIN CREEK      
1945,372.6,304.8,44.2,459.6,1012573,DUNCAN KELVIN CREEK      
1946,553.9,204.4,166.0,246.1,1012573,DUNCAN KELVIN CREEK      
1947,600.6,173.3,105.6,328.3,1012573,DUNCAN KELVIN CREEK      
1948,731.0,297.2,170.8,460.7,1012573,DUNCAN KELVIN CREEK      
1949,431.2,166.7,91.9,370.8,1012573,DUNCAN KELVIN CREEK      
1951,679.2,219.9,25.3,512.4,1012573,DUNCAN KELVIN CREEK      
1952,585.6,167.6,58.1,125.8,1012573,DUNCAN KELVIN CREEK      
1953,905.1,195.1,88.3,412.5,1012573,DUNCAN KELVIN CREEK      
1955,363.1,194.9,135.3,511.6,1012573,DUNCAN KELVIN CREEK      
1956,498.8,219.2,163.6,387.9,1012573,DUNCAN KELVIN CREEK      
1957,532.2,281.6,183.4,200.4,1012573,DUNCAN KELVIN CREEK      
1959,489.1,234.5,101.0,369.0,1012573,DUNCAN KELVIN CREEK      
1960,512.3,255.3,58.2,341.1,1012573,DUNCAN KELVIN CREEK      
1961,810.1,293.8,57.4,306.5,1012573,DUNCAN KELVIN CREEK      
1962,372.5,250.0,103.8,493.2,1012573,DUNCAN KELVIN CREEK      
1963,462.6,203.8,135.5,491.1,1012573,DUNCAN KELVIN CREEK      
1964,661.7,151.8,124.7,232.3,1012573,DUNCAN KELVIN CREEK      
1965,527.7,132.8,82.8,357.7,1012573,DUNCAN KELVIN CREEK      
1966,551.1,204.1,86.1,390.3,1012573,DUNCAN KELVIN CREEK      
1967,694.1,264.8,37.6,411.7,1012573,DUNCAN KELVIN CREEK      
1968,738.9,270.3,135.3,419.7,1012573,DUNCAN KELVIN CREEK      
1969,605.1,240.2,67.5,262.9,1012573,DUNCAN KELVIN CREEK      
1970,541.9,258.9,55.4,315.8,1012573,DUNCAN KELVIN CREEK      
1971,576.6,266.9,107.2,348.0,1012573,DUNCAN KELVIN CREEK      
1972,597.8,250.4,120.7,244.2,1012573,DUNCAN KELVIN CREEK      
1973,656.6,94.4,88.9,441.5,1012573,DUNCAN KELVIN CREEK      
1974,751.6,321.6,88.1,294.5,1012573,DUNCAN KELVIN CREEK      
1975,549.3,141.5,143.8,581.3,1012573,DUNCAN KELVIN CREEK      
