year,winter,spring,summer,autumn,station_id,station_name
1914,4.1,9.8,15.9,9.9,1012010,COWICHAN BAY CHERRY 
1915,3.7,10.0,16.6,9.8,1012010,COWICHAN BAY CHERRY 
1916,1.2,7.9,15.4,8.7,1012010,COWICHAN BAY CHERRY 
1917,2.1,7.3,15.6,10.6,1012010,COWICHAN BAY CHERRY 
1925,3.6,9.5,16.6,9.5,1012010,COWICHAN BAY CHERRY 
1926,5.7,10.3,17.1,10.5,1012010,COWICHAN BAY CHERRY 
1927,3.8,7.8,17.0,9.6,1012010,COWICHAN BAY CHERRY 
1928,3.5,9.6,16.4,9.6,1012010,COWICHAN BAY CHERRY 
1929,1.4,8.7,17.2,10.4,1012010,COWICHAN BAY CHERRY 
1930,2.2,9.6,17.0,9.4,1012010,COWICHAN BAY CHERRY 
1931,4.9,10.1,16.5,9.0,1012010,COWICHAN BAY CHERRY 
1932,2.8,9.2,16.2,10.3,1012010,COWICHAN BAY CHERRY 
1933,1.4,7.8,16.6,9.6,1012010,COWICHAN BAY CHERRY 
1934,5.0,11.2,17.0,10.5,1012010,COWICHAN BAY CHERRY 
1935,3.6,8.3,16.4,9.8,1012010,COWICHAN BAY CHERRY 
1936,2.9,9.5,17.7,10.4,1012010,COWICHAN BAY CHERRY 
1937,1.6,9.0,17.2,10.8,1012010,COWICHAN BAY CHERRY 
1938,4.0,9.9,18.0,10.9,1012010,COWICHAN BAY CHERRY 
1939,4.0,10.1,17.4,11.5,1012010,COWICHAN BAY CHERRY 
1940,5.1,10.5,17.6,10.5,1012010,COWICHAN BAY CHERRY 
1941,4.6,10.7,17.6,10.1,1012010,COWICHAN BAY CHERRY 
1942,3.3,9.0,17.3,10.0,1012010,COWICHAN BAY CHERRY 
1943,2.5,8.6,16.1,10.7,1012010,COWICHAN BAY CHERRY 
1944,3.4,8.6,16.5,11.4,1012010,COWICHAN BAY CHERRY 
1945,3.7,8.4,16.6,9.2,1012010,COWICHAN BAY CHERRY 
1946,3.7,9.2,16.1,8.6,1012010,COWICHAN BAY CHERRY 
1947,2.7,10.2,16.3,9.5,1012010,COWICHAN BAY CHERRY 
1948,2.9,7.8,15.8,8.9,1012010,COWICHAN BAY CHERRY 
1949,0.4,9.7,16.3,10.4,1012010,COWICHAN BAY CHERRY 
1950,-0.3,7.4,17.5,8.9,1012010,COWICHAN BAY CHERRY 
1951,3.3,8.9,18.3,9.5,1012010,COWICHAN BAY CHERRY 
1952,2.0,8.9,16.9,10.4,1012010,COWICHAN BAY CHERRY 
1953,4.4,9.1,16.8,10.6,1012010,COWICHAN BAY CHERRY 
1954,3.4,7.6,14.4,10.8,1012010,COWICHAN BAY CHERRY 
1955,3.6,6.4,14.8,9.0,1012010,COWICHAN BAY CHERRY 
1956,2.0,9.0,15.8,9.4,1012010,COWICHAN BAY CHERRY 
1957,1.9,9.5,15.2,11.0,1012010,COWICHAN BAY CHERRY 
1958,5.7,9.9,18.9,10.1,1012010,COWICHAN BAY CHERRY 
1959,4.1,8.4,15.9,9.5,1012010,COWICHAN BAY CHERRY 
1960,3.6,8.3,16.0,10.2,1012010,COWICHAN BAY CHERRY 
1961,4.7,8.7,17.7,9.2,1012010,COWICHAN BAY CHERRY 
1962,3.7,7.7,15.1,10.9,1012010,COWICHAN BAY CHERRY 
1963,4.6,8.9,15.8,11.2,1012010,COWICHAN BAY CHERRY 
1964,4.5,8.0,15.4,9.7,1012010,COWICHAN BAY CHERRY 
1965,2.5,8.2,16.4,10.5,1012010,COWICHAN BAY CHERRY 
1966,3.6,8.7,15.4,10.4,1012010,COWICHAN BAY CHERRY 
1967,5.1,7.8,17.9,11.0,1012010,COWICHAN BAY CHERRY 
1968,4.6,8.8,15.9,9.9,1012010,COWICHAN BAY CHERRY 
1969,0.7,9.0,16.5,10.3,1012010,COWICHAN BAY CHERRY 
1970,4.7,8.2,16.2,9.2,1012010,COWICHAN BAY CHERRY 
1971,2.9,7.9,15.8,9.3,1012010,COWICHAN BAY CHERRY 
1972,1.5,8.4,16.2,9.1,1012010,COWICHAN BAY CHERRY 
1973,2.7,8.6,15.0,9.1,1012010,COWICHAN BAY CHERRY 
1974,3.7,7.8,15.4,11.2,1012010,COWICHAN BAY CHERRY 
1975,2.9,7.7,15.3,10.0,1012010,COWICHAN BAY CHERRY 
1976,3.5,7.6,14.5,10.6,1012010,COWICHAN BAY CHERRY 
1977,4.5,8.3,16.4,8.9,1012010,COWICHAN BAY CHERRY 
1978,3.7,9.1,17.1,9.1,1012010,COWICHAN BAY CHERRY 
1979,1.8,9.4,16.5,10.8,1012010,COWICHAN BAY CHERRY 
1980,3.6,9.0,14.9,10.5,1012010,COWICHAN BAY CHERRY 
1981,5.3,9.2,15.6,10.0,1012010,COWICHAN BAY CHERRY 
1982,3.2,7.9,16.4,10.1,1012010,COWICHAN BAY CHERRY 
1983,5.3,10.0,15.8,9.7,1012010,COWICHAN BAY CHERRY 
1927,2.9,6.5,14.2,7.7,1012573,DUNCAN              
1928,1.6,7.9,14.8,8.2,1012573,DUNCAN              
1929,0.1,6.9,13.6,8.1,1012573,DUNCAN              
1930,0.8,7.4,13.9,7.5,1012573,DUNCAN              
1931,3.5,8.5,14.1,7.7,1012573,DUNCAN              
1932,2.1,7.8,13.8,8.8,1012573,DUNCAN              
1933,1.0,6.5,14.0,8.3,1012573,DUNCAN              
1934,4.0,9.3,13.9,9.0,1012573,DUNCAN              
1935,3.0,6.7,14.0,8.4,1012573,DUNCAN              
1936,2.5,8.0,14.7,8.7,1012573,DUNCAN              
1937,2.0,7.8,14.6,9.6,1012573,DUNCAN              
1938,3.1,7.9,15.0,8.7,1012573,DUNCAN              
1939,2.8,8.0,14.3,9.6,1012573,DUNCAN              
1940,4.6,9.5,15.2,9.1,1012573,DUNCAN              
