YEAR,NFIREID,FIRECAUS,BURNCLAS,AGENCY,POLY_HA,ADJ_HA,fire_area,latitude,longitude
1986,100,Human,Full 75-100%,BC,225.50433353,230.123635526,221.20510113998068,51.697145987706094,-123.2305963270833
1986,101,Human,Full 75-100%,BC,81.0766649086,86.0685305633,80.05580758111388,50.72168570000511,-126.29936365867621
1986,102,Human,Full 75-100%,BC,6.74396758932,7.88017951218,6.616515256460793,51.67111673083718,-123.47274531893885
1986,103,Lightning,Full 75-100%,BC,6.34190253724,7.42797251966,6.187793740684636,52.54355121932485,-120.33519520318167
1986,104,Human,Full 75-100%,BC,21.3269248309,23.8372077866,20.829207036728224,52.383527206390134,-120.94613280529627
1986,105,Human,Full 75-100%,BC,15.3685602855,17.3960611628,15.007077206747,52.41383384772968,-120.84387654198288
1986,106,Human,Full 75-100%,BC,14.6956611014,16.6631512871,14.370058015227446,52.1900000080422,-121.7099999991088
1986,107,Human,Full 75-100%,BC,99.9606746618,105.261350794,98.36458092626361,51.22143637487856,-124.9721642764444
1986,108,Human,Full 75-100%,BC,116.713130096,116.713130096,114.56711793715209,51.59153874191046,-124.21236541443707
1986,110,Human,Full 75-100%,BC,41.7626076197,45.4834151104,40.75116802355952,52.52998358465056,-121.6631095419488
1986,111,Human,Full 75-100%,BC,79.7422399098,84.7061708262,77.68461784985654,52.79780807193437,-120.81198867310368
1986,112,Human,Full 75-100%,BC,21.5114258961,24.0354354162,20.957693922634267,52.78718574231523,-120.99159279516368
1986,114,Human,Full 75-100%,BC,95.4854133776,100.72664094,92.99785973146531,52.84029027571308,-121.19761785209761
1986,115,Human,Full 75-100%,BC,19.6930592657,22.0788265753,19.16256146659633,52.993346022928556,-121.27252949880902
1986,117,Human,Full 75-100%,BC,26.384814934,29.2492580358,25.613732111889078,53.39762417793573,-120.2909976209602
1986,118,Human,Full 75-100%,BC,2.9732881514,3.58576518519,2.8931841765048216,52.99392066021981,-122.10056200274146
1986,120,Human,Full 75-100%,BC,13.7261942932,15.6049291492,13.330993499308263,53.32000000884584,-121.26999999960945
1986,121,Human,Full 75-100%,BC,7.70395584054,8.95579647779,7.482329555408782,53.31575615395685,-121.83467998559057
1986,123,Human,Full 75-100%,BC,54.2945333479,58.5361257098,53.016304290288,52.41750988000524,-125.0757738199897
1986,126,Human,Full 75-100%,BC,16.7026317737,18.8455014266,16.201002291347507,53.544055116229806,-121.77778268452792
1986,127,Human,Full 75-100%,BC,41.8310500784,45.5550769213,40.56196266716982,53.599920178716545,-121.60349589840622
1986,129,Human,Full 75-100%,BC,102.500361647,107.831269069,99.36890158912595,53.638808781942956,-121.58141856021417
1986,131,Human,Full 75-100%,BC,10.8478330015,12.4451007006,10.51422762166653,53.67619537168669,-121.51358327774284
1986,133,Human,Full 75-100%,BC,15.9344200444,15.9344200444,15.420350803415765,53.95810923339877,-120.77610646767111
1986,135,Human,Full 75-100%,BC,27.5467838289,30.4866352036,26.645123518884752,54.047557250280846,-120.78616492885106
1986,138,Human,Full 75-100%,BC,91.9411000264,97.1294387885,88.80561002299524,54.31266787259152,-120.24382437846228
1986,141,Human,Full 75-100%,BC,12.5035004914,14.2661479143,12.136540633824072,53.420000008720294,-123.87999999964433
1986,142,Human,Full 75-100%,BC,23.0895422719,25.7283389641,22.343252384575155,53.96940330340957,-121.9239936412525
1986,143,Human,Full 75-100%,BC,66.3603604943,70.9927067761,64.54025728823615,53.07870508771673,-125.07657770282883
1986,146,Human,Full 75-100%,BC,21.9639900707,24.5213930037,21.36140968024852,53.08000000838,-125.18999999911793
1986,147,Human,Full 75-100%,BC,32.876981606,36.1381832088,31.930583946616917,53.3189897002549,-124.50855232929905
1986,148,Lightning,Full 75-100%,BC,1394.825773,1394.825773,1358.271134568103,52.86704589184742,-126.24023151869596
1986,149,Human,Full 75-100%,BC,55.7522874237,60.0463436267,53.925334478826414,54.054660520783365,-122.90217103784855
1986,150,Human,Full 75-100%,BC,407.530543231,406.489837381,393.67728626686267,54.29113025687451,-122.0282052750521
1986,151,Human,Full 75-100%,BC,17.665968105,19.889348872,17.102413407044732,53.890000009279234,-123.93999999977312
1986,153,Human,Full 75-100%,BC,17.0020397107,19.1701752251,16.419434549742142,54.34454865704848,-123.11317983228372
1986,155,Human,Full 75-100%,BC,86.1692002887,91.2598470756,83.18841233078975,54.408850285624425,-123.01149217796338
1986,156,Human,Full 75-100%,BC,28.458489295,31.4560939221,27.399243455407866,54.941960874723144,-121.01282305503217
1986,157,Human,Full 75-100%,BC,24.7851203843,27.542283637,23.971232952910945,54.06778798295331,-125.41028750744776
1986,158,Human,Full 75-100%,BC,81.6049049803,81.6049049803,78.66448171626833,54.6974556441537,-123.20985962351432
1986,159,Human,Full 75-100%,BC,49.2682345198,53.3166407663,47.28834280499206,55.58051332837561,-120.69508541018689
1986,161,Human,Full 75-100%,BC,42.180587524,45.920985297,40.4792450548553,55.61374854778172,-121.44877448773703
1986,162,Human,Full 75-100%,BC,468.141521812,468.141521812,450.69401688411403,54.95219266433972,-124.05953924242333
1986,163,Human,Full 75-100%,BC,50.8888098355,55.0016521413,49.21355776712646,54.08346552247749,-127.08369502902458
1986,164,Lightning,Full 75-100%,BC,21.7146500857,24.2537032463,20.824024480164873,55.76716046824465,-121.18981071791582
1986,166,Human,Full 75-100%,BC,56.644522653,56.644522653,54.830308746501245,53.91399516430682,-127.65899698799419
1986,168,Human,Full 75-100%,BC,59.8029815034,64.2349481744,57.46366187447831,55.34535317351601,-123.25488930047041
1986,170,Human,Full 75-100%,BC,26.6561385613,29.5383746121,25.60309257281355,55.43000000998691,-123.20000000219306
1986,172,Human,Full 75-100%,BC,153.551726346,153.551726346,147.41424054007254,55.53257572301114,-124.18570730081927
1986,173,Human,Full 75-100%,BC,32.3198615982,35.5492359899,31.243069098451453,54.15980965834271,-128.610441691132
1986,174,Human,Full 75-100%,BC,65.3748179294,69.9787582918,63.0174097177138,54.702938801316094,-127.0386868560754
1986,176,Human,Full 75-100%,BC,69.3761072327,74.0918041671,66.27565406014169,56.646459860519926,-121.03752450874283
1986,179,Human,Full 75-100%,BC,81.9631220653,81.9631220653,78.33659245492906,56.535070366153576,-122.43427872691848
1986,180,Human,Full 75-100%,BC,6.35627688469,7.4441581765,6.1085390989972925,55.314653330301226,-127.11210177558385
1986,181,Human,Full 75-100%,BC,85.2508269081,90.324555494,81.9256761706539,55.3208850770478,-128.09722711948362
1986,182,Lightning,Full 75-100%,BC,69.1507365009,73.8603870664,65.86853199054511,57.37957485589844,-121.99723040196942
1986,183,Human,Full 75-100%,BC,453.588904134,453.588904134,432.57238256903645,57.072234976303484,-123.58214553530661
1986,185,Human,Full 75-100%,BC,70.3730385662,75.1151351076,67.3151525817809,56.340000010094435,-129.25000000098825
1986,187,Human,Full 75-100%,BC,171.112020087,176.48683927,162.84526504023293,57.61867344442483,-126.97009876535625
1986,189,Human,Full 75-100%,BC,101.291538811,106.608367153,96.37180125357364,57.69307090618465,-127.62379595708607
1986,19,Human,Full 75-100%,BC,883.772160173,855.574827086,880.9774578385176,49.413668288560125,-116.47028412674716
1986,191,Human,Full 75-100%,BC,21.9348308708,24.4900939596,20.870771750802703,57.675713081480595,-128.21750077242555
1986,192,Lightning,Full 75-100%,BC,2722.76313764,2722.76313764,2579.7686986472763,58.95274837137666,-124.31878342398386
1986,193,Human,Full 75-100%,BC,34.8784193749,38.2508303925,33.181366591919826,57.71817685960163,-129.04571286550026
1986,20,Human,Full 75-100%,BC,503.611799457,498.239314786,503.5471671738924,49.01656488243486,-118.29961853261203
1986,200,Lightning,Full 75-100%,BC,12.6587058791,14.4363593627,11.974201961034561,59.534685667036115,-128.15099175317766
1986,21,Human,Full 75-100%,BC,550.174558982,542.451257753,547.4158582948093,49.66138955201022,-115.59632009347173
1986,22,Lightning,Full 75-100%,BC,53.5412886494,57.7551614046,53.42828793144307,49.27480878782993,-117.51237832172963
1986,23,Human,Full 75-100%,BC,11.7507903925,13.4394854095,11.706009371909639,49.499930327564726,-116.59137307552712
1986,24,Human,Full 75-100%,BC,70.6656926507,75.4154323786,70.37814461370357,49.53445024391675,-116.60873936311361
1986,267,Undefined,Full 75-100%,BC,85.8776019614,85.8776019614,84.02365751482198,52.09796085122086,-120.72743512740259
1986,270,Undefined,Full 75-100%,BC,42.2418961955,42.2418961955,41.81236814665245,50.37390098489876,-122.39983111360857
1986,274,Undefined,Full 75-100%,BC,27.6375952306,27.6375952306,27.084430112234102,51.846558924062855,-119.12289954834343
1986,275,Undefined,Full 75-100%,BC,7.64973699283,7.64973699283,7.496174330880601,51.855941479672275,-119.67664066866558
1986,282,Undefined,Full 75-100%,BC,9.36686972229,9.36686972229,8.998207963661283,55.39786334929341,-128.17857249362302
1986,288,Undefined,Full 75-100%,BC,3.42251080598,3.42251080598,3.4067760629805233,49.60526418817995,-117.7187829819109
1986,290,Undefined,Full 75-100%,BC,4.68346967673,4.68346967673,4.667222812478232,49.454412341336514,-123.67657203848339
1986,294,Undefined,Full 75-100%,BC,37.827700642,37.827700642,36.4693599079939,54.67231916892302,-122.18676567841845
1986,297,Undefined,Full 75-100%,BC,23.2383070099,23.2383070099,22.927207941085026,50.83787990996145,-122.68616000307337
1986,298,Undefined,Full 75-100%,BC,0.540418369868,0.540418369868,0.5389834646614244,49.34655412446773,-116.54991976032775
1986,299,Undefined,Full 75-100%,BC,37.5588232427,37.5588232427,36.84589675860345,51.6840915027653,-117.52527061508299
1986,30,Lightning,Full 75-100%,BC,81.7140054249,86.7189069881,81.01447846429613,50.14782609346217,-115.08194265825102
1986,301,Undefined,Full 75-100%,BC,20.7984014916,20.7984014916,19.967783460438426,55.52514559212692,-125.0124650848452
1986,310,Undefined,Full 75-100%,BC,25.2044345148,25.2044345148,25.07217222598825,49.692885112522234,-114.79027324375765
1986,318,Undefined,Full 75-100%,BC,6.2560946047,6.2560946047,6.073684314965605,53.385528511905655,-125.70388894880162
1986,327,Undefined,Full 75-100%,BC,28.1890294077,28.1890294077,27.95687841007653,50.102530137912545,-117.9963352076999
1986,330,Undefined,Full 75-100%,BC,5.40197619735,5.40197619735,5.1451182103582775,57.40301986768758,-126.78545930083226
1986,333,Undefined,Full 75-100%,BC,62.1279846325,62.1279846325,60.12307400779289,53.95983846313753,-125.84737689784784
1986,35,Human,Full 75-100%,BC,38.7753657909,42.3511350514,38.769731055236385,49.018751862682095,-120.5311895455344
1986,37,Human,Full 75-100%,BC,160.911524279,166.36001317,159.27429745482982,50.37481402003797,-115.32652020316891
1986,38,Lightning,Full 75-100%,BC,27.6551375831,30.6019168273,27.42341248977113,50.12251819481404,-116.77657144062846
1986,39,Human,Full 75-100%,BC,13.4405457615,15.2925876439,13.373288143975019,49.65999878633792,-118.94000452386257
1986,41,Human,Full 75-100%,BC,13.0465811899,14.8613866615,13.027451154073566,49.18999487078429,-121.23000030654072
1986,42,Human,Full 75-100%,BC,24.5939378899,27.3380006126,24.533488676709116,49.319997846463046,-120.99000104694022
1986,47,Human,Full 75-100%,BC,32.8800928525,36.1414711077,32.71593790458002,49.658401520958414,-120.91555229627411
1986,48,Human,Full 75-100%,BC,734.175274917,715.855183718,731.0200285486171,49.56605962233267,-121.31265982235588
