year,winter,spring,summer,autumn,station_id,station_name
1953,13.0,12.2,10.6,11.9,1018620,VICTORIA INT'L A                          
1954,14.6,13.8,11.5,10.6,1018620,VICTORIA INT'L A                          
1955,12.7,15.1,10.9,12.8,1018620,VICTORIA INT'L A                          
1956,14.8,13.7,10.8,11.1,1018620,VICTORIA INT'L A                          
1957,14.0,12.4,11.7,10.3,1018620,VICTORIA INT'L A                          
1958,13.9,12.8,10.4,11.8,1018620,VICTORIA INT'L A                          
1959,14.7,13.9,11.3,12.0,1018620,VICTORIA INT'L A                          
1960,13.6,14.1,11.1,11.0,1018620,VICTORIA INT'L A                          
1961,12.9,12.7,11.0,12.2,1018620,VICTORIA INT'L A                          
1962,12.8,12.2,10.1,11.7,1018620,VICTORIA INT'L A                          
1963,11.7,12.5,10.7,11.4,1018620,VICTORIA INT'L A                          
1964,12.9,13.2,10.3,8.7,1018620,VICTORIA INT'L A                          
1965,11.7,11.0,10.2,10.6,1018620,VICTORIA INT'L A                          
1966,12.9,13.0,10.5,10.6,1018620,VICTORIA INT'L A                          
1967,14.4,14.1,10.9,12.5,1018620,VICTORIA INT'L A                          
1968,16.0,13.5,11.3,11.7,1018620,VICTORIA INT'L A                          
1969,15.2,12.2,11.6,11.2,1018620,VICTORIA INT'L A                          
1970,12.1,11.6,8.9,10.6,1018620,VICTORIA INT'L A                          
1971,12.2,12.7,8.8,10.5,1018620,VICTORIA INT'L A                          
1972,12.1,10.6,8.1,9.4,1018620,VICTORIA INT'L A                          
1973,12.9,10.0,9.2,10.3,1018620,VICTORIA INT'L A                          
1974,13.1,13.2,10.8,10.3,1018620,VICTORIA INT'L A                          
1975,13.5,12.8,10.9,11.5,1018620,VICTORIA INT'L A                          
1976,12.4,12.5,10.4,9.0,1018620,VICTORIA INT'L A                          
1977,10.2,13.1,10.9,11.7,1018620,VICTORIA INT'L A                          
1978,11.3,11.4,10.2,10.1,1018620,VICTORIA INT'L A                          
1979,13.2,10.8,10.4,9.9,1018620,VICTORIA INT'L A                          
1980,13.5,12.6,9.9,9.4,1018620,VICTORIA INT'L A                          
1981,10.2,11.3,9.5,9.9,1018620,VICTORIA INT'L A                          
1982,11.6,10.9,9.1,10.0,1018620,VICTORIA INT'L A                          
1983,11.7,10.2,10.4,11.4,1018620,VICTORIA INT'L A                          
1984,12.8,12.2,10.5,10.6,1018620,VICTORIA INT'L A                          
1985,10.6,12.7,11.2,11.9,1018620,VICTORIA INT'L A                          
1986,10.3,10.7,9.4,10.1,1018620,VICTORIA INT'L A                          
1987,11.1,11.3,10.8,9.3,1018620,VICTORIA INT'L A                          
1988,11.6,12.0,11.6,11.6,1018620,VICTORIA INT'L A                          
1989,13.1,12.4,10.7,10.6,1018620,VICTORIA INT'L A                          
1990,12.1,11.7,10.6,11.3,1018620,VICTORIA INT'L A                          
1991,12.0,11.8,10.6,10.3,1018620,VICTORIA INT'L A                          
1992,11.4,10.8,9.7,10.6,1018620,VICTORIA INT'L A                          
1993,12.9,11.4,11.3,10.0,1018620,VICTORIA INT'L A                          
1994,10.9,11.6,10.6,11.4,1018620,VICTORIA INT'L A                          
1995,12.7,11.5,10.9,10.8,1018620,VICTORIA INT'L A                          
1996,12.3,12.0,10.8,9.3,1018620,VICTORIA INT'L A                          
1997,11.1,12.2,10.6,10.8,1018620,VICTORIA INT'L A                          
1998,13.0,11.2,10.4,9.9,1018620,VICTORIA INT'L A                          
1999,12.9,11.4,8.9,9.6,1018620,VICTORIA INT'L A                          
2000,10.2,11.1,10.7,9.5,1018620,VICTORIA INT'L A                          
2001,10.0,12.1,10.9,10.3,1018620,VICTORIA INT'L A                          
2002,11.6,12.5,9.5,8.8,1018620,VICTORIA INT'L A                          
2003,10.7,11.5,9.8,10.4,1018620,VICTORIA INT'L A                          
2004,11.4,11.7,10.3,10.0,1018620,VICTORIA INT'L A                          
2005,10.4,11.4,10.3,10.1,1018620,VICTORIA INT'L A                          
2006,12.8,10.7,9.7,10.1,1018620,VICTORIA INT'L A                          
2007,11.4,11.2,9.8,9.6,1018620,VICTORIA INT'L A                          
2008,12.3,10.9,10.2,8.7,1018620,VICTORIA INT'L A                          
2009,10.8,11.3,9.4,11.2,1018620,VICTORIA INT'L A                          
2010,10.0,11.9,9.8,9.8,1018620,VICTORIA INT'L A                          
2011,12.5,12.1,9.8,9.3,1018620,VICTORIA INT'L A                          
2012,10.6,10.4,7.2,7.8,1018620,VICTORIA INT'L A                          
2013,10.1,10.7,9.7,8.8,1018620,VICTORIA INT'L A                          
2014,11.3,11.4,9.8,10.2,1018620,VICTORIA INT'L A                          
1953,12.3,11.2,7.8,11.9,1021830,COMOX A                                   
1954,11.7,7.9,7.5,7.9,1021830,COMOX A                                   
1955,9.2,8.9,7.8,10.8,1021830,COMOX A                                   
1956,12.6,10.3,9.3,8.3,1021830,COMOX A                                   
1957,7.6,8.6,8.1,6.8,1021830,COMOX A                                   
1958,12.1,9.5,9.3,9.6,1021830,COMOX A                                   
1959,11.1,11.3,9.8,7.8,1021830,COMOX A                                   
1960,11.1,11.1,9.0,9.6,1021830,COMOX A                                   
1961,11.0,10.6,9.0,9.7,1021830,COMOX A                                   
1962,9.0,11.2,9.4,11.1,1021830,COMOX A                                   
1963,8.8,11.7,7.9,8.1,1021830,COMOX A                                   
1964,12.2,11.3,10.4,8.2,1021830,COMOX A                                   
1965,8.4,8.6,8.3,8.8,1021830,COMOX A                                   
1966,11.1,11.8,9.5,10.0,1021830,COMOX A                                   
1967,12.9,10.8,9.8,9.3,1021830,COMOX A                                   
1968,12.9,10.6,9.2,11.7,1021830,COMOX A                                   
1969,11.8,11.8,8.8,8.5,1021830,COMOX A                                   
1970,8.0,12.4,9.6,9.4,1021830,COMOX A                                   
1971,11.4,10.7,9.8,13.6,1021830,COMOX A                                   
1972,12.4,11.4,10.0,8.1,1021830,COMOX A                                   
1973,12.3,10.2,8.7,9.5,1021830,COMOX A                                   
1974,12.3,10.4,9.2,6.5,1021830,COMOX A                                   
1975,11.0,11.5,10.2,12.0,1021830,COMOX A                                   
1976,14.4,12.3,9.3,7.3,1021830,COMOX A                                   
1977,9.8,13.5,9.1,9.9,1021830,COMOX A                                   
1978,6.0,10.4,9.4,8.4,1021830,COMOX A                                   
1979,13.4,9.5,10.4,7.5,1021830,COMOX A                                   
1980,12.3,11.6,9.0,9.3,1021830,COMOX A                                   
1981,9.9,10.9,10.7,11.6,1021830,COMOX A                                   
1982,12.8,13.1,9.3,10.3,1021830,COMOX A                                   
1983,13.8,8.2,9.0,10.8,1021830,COMOX A                                   
1984,12.0,12.7,9.0,10.4,1021830,COMOX A                                   
1985,7.9,11.3,10.5,10.7,1021830,COMOX A                                   
1986,10.1,12.6,10.8,9.4,1021830,COMOX A                                   
1987,13.8,12.9,10.6,9.4,1021830,COMOX A                                   
1988,13.3,12.5,11.6,12.9,1021830,COMOX A                                   
1989,11.3,11.9,10.1,8.8,1021830,COMOX A                                   
1990,10.9,8.2,9.2,10.6,1021830,COMOX A                                   
1991,11.6,10.8,10.7,8.6,1021830,COMOX A                                   
1992,12.8,8.3,10.3,11.7,1021830,COMOX A                                   
1993,10.2,12.8,10.0,7.6,1021830,COMOX A                                   
1994,10.8,10.5,9.1,12.7,1021830,COMOX A                                   
1995,11.6,10.3,9.7,9.5,1021830,COMOX A                                   
1996,11.9,11.2,10.7,10.2,1021830,COMOX A                                   
1997,10.2,12.3,9.4,10.0,1021830,COMOX A                                   
1998,14.9,9.2,10.3,11.1,1021830,COMOX A                                   
1999,17.2,12.2,9.2,11.0,1021830,COMOX A                                   
2000,9.9,11.4,10.9,9.8,1021830,COMOX A                                   
2001,9.1,11.9,10.7,11.9,1021830,COMOX A                                   
2002,12.3,10.7,10.7,9.2,1021830,COMOX A                                   
2003,10.3,12.1,10.8,10.6,1021830,COMOX A                                   
2004,10.6,9.7,10.0,10.4,1021830,COMOX A                                   
2005,9.4,12.8,10.2,10.4,1021830,COMOX A                                   
2006,12.5,11.7,11.2,10.6,1021830,COMOX A                                   
2007,13.6,12.6,9.6,11.1,1021830,COMOX A                                   
2008,12.8,10.7,11.0,10.1,1021830,COMOX A                                   
2009,9.8,12.6,10.4,13.1,1021830,COMOX A                                   
2010,10.5,11.8,10.7,12.4,1021830,COMOX A                                   
2011,13.0,12.6,8.7,12.2,1021830,COMOX A                                   
2012,13.5,13.0,11.3,12.1,1021830,COMOX A                                   
2013,12.2,12.0,11.5,9.5,1021830,COMOX A                                   
2014,9.6,11.6,11.7,11.9,1021830,COMOX A                                   
1954,7.4,8.7,7.2,6.6,1025370,NANAIMO A                                 
1955,7.7,9.6,7.6,7.2,1025370,NANAIMO A                                 
1956,6.7,9.4,7.9,6.7,1025370,NANAIMO A                                 
1957,6.7,7.9,7.5,6.5,1025370,NANAIMO A                                 
1958,7.4,8.2,7.7,7.1,1025370,NANAIMO A                                 
1959,7.1,8.5,8.2,6.5,1025370,NANAIMO A                                 
1960,6.8,8.6,7.4,7.3,1025370,NANAIMO A                                 
1961,6.8,8.2,8.2,8.6,1025370,NANAIMO A                                 
1962,7.0,9.5,8.4,7.8,1025370,NANAIMO A                                 
1963,6.9,9.4,7.9,7.3,1025370,NANAIMO A                                 
1964,8.5,9.9,8.4,7.3,1025370,NANAIMO A                                 
1965,6.8,8.2,7.8,5.5,1025370,NANAIMO A                                 
1966,6.4,9.0,7.4,5.8,1025370,NANAIMO A                                 
1967,7.0,7.4,6.6,6.1,1025370,NANAIMO A                                 
1968,7.3,8.7,8.3,7.2,1025370,NANAIMO A                                 
1969,6.3,9.0,8.2,6.1,1025370,NANAIMO A                                 
1970,5.0,9.4,8.3,6.9,1025370,NANAIMO A                                 
1971,7.2,9.8,7.7,6.9,1025370,NANAIMO A                                 
1972,6.3,8.9,7.9,5.7,1025370,NANAIMO A                                 
1973,5.9,9.0,9.2,6.8,1025370,NANAIMO A                                 
1974,6.9,7.4,7.0,4.8,1025370,NANAIMO A                                 
1975,4.7,7.8,6.9,6.7,1025370,NANAIMO A                                 
1976,7.0,10.1,8.4,5.2,1025370,NANAIMO A                                 
1977,5.4,10.0,9.0,7.1,1025370,NANAIMO A                                 
1978,4.4,8.7,8.3,6.3,1025370,NANAIMO A                                 
1979,6.9,8.1,7.7,5.3,1025370,NANAIMO A                                 
1980,6.1,8.4,6.1,5.5,1025370,NANAIMO A                                 
1981,4.4,6.8,6.9,5.9,1025370,NANAIMO A                                 
1982,5.4,7.4,6.4,6.2,1025370,NANAIMO A                                 
1983,6.9,7.1,7.1,6.3,1025370,NANAIMO A                                 
1984,6.3,9.1,7.4,7.5,1025370,NANAIMO A                                 
1985,4.9,9.8,11.3,8.2,1025370,NANAIMO A                                 
1986,5.3,8.5,9.1,6.9,1025370,NANAIMO A                                 
1987,7.0,9.5,9.5,6.8,1025370,NANAIMO A                                 
1988,7.1,9.6,9.1,7.9,1025370,NANAIMO A                                 
1989,6.3,8.2,8.4,6.0,1025370,NANAIMO A                                 
1990,6.1,7.5,8.5,7.7,1025370,NANAIMO A                                 
1991,6.0,8.4,8.1,6.8,1025370,NANAIMO A                                 
1992,6.8,7.9,8.2,7.4,1025370,NANAIMO A                                 
1993,6.8,7.3,7.1,3.8,1025370,NANAIMO A                                 
1994,4.8,7.9,8.8,8.1,1025370,NANAIMO A                                 
1995,5.4,9.4,9.5,7.0,1025370,NANAIMO A                                 
1996,6.0,8.8,10.1,6.8,1025370,NANAIMO A                                 
1997,5.0,9.3,8.5,6.6,1025370,NANAIMO A                                 
1998,6.6,7.8,8.4,6.2,1025370,NANAIMO A                                 
1999,8.3,9.3,7.7,6.7,1025370,NANAIMO A                                 
2000,6.1,9.0,9.0,5.9,1025370,NANAIMO A                                 
2001,4.8,8.9,8.8,7.4,1025370,NANAIMO A                                 
2002,6.1,8.3,9.1,6.1,1025370,NANAIMO A                                 
2003,5.2,9.6,9.1,6.9,1025370,NANAIMO A                                 
2004,5.3,8.3,8.2,5.9,1025370,NANAIMO A                                 
2005,4.0,7.3,6.9,5.0,1025370,NANAIMO A                                 
2006,5.8,7.3,7.3,6.3,1025370,NANAIMO A                                 
2007,5.9,8.1,7.4,6.3,1025370,NANAIMO A                                 
2008,6.0,6.8,7.5,6.5,1025370,NANAIMO A                                 
2009,5.3,8.9,8.5,8.0,1025370,NANAIMO A                                 
2010,4.7,8.4,8.2,6.4,1025370,NANAIMO A                                 
2011,6.2,8.3,7.7,6.6,1025370,NANAIMO A                                 
2012,6.6,8.9,7.5,6.2,1025370,NANAIMO A                                 
2013,5.7,8.9,8.4,6.7,1025370,NANAIMO A                                 
2014,6.2,8.5,8.5,7.3,1025370,NANAIMO A                                 
1953,14.6,13.0,8.4,14.4,1026270,PORT HARDY A                              
1954,16.1,11.2,9.3,13.0,1026270,PORT HARDY A                              
1955,17.6,12.2,9.0,15.3,1026270,PORT HARDY A                              
1956,16.7,11.6,9.8,10.1,1026270,PORT HARDY A                              
1957,13.6,11.5,8.1,11.2,1026270,PORT HARDY A                              
1958,20.3,11.4,10.2,12.1,1026270,PORT HARDY A                              
1959,18.3,14.1,10.8,13.0,1026270,PORT HARDY A                              
1960,19.4,14.1,9.8,11.8,1026270,PORT HARDY A                              
1961,17.8,14.2,9.6,13.6,1026270,PORT HARDY A                              
1962,15.9,13.3,9.6,12.1,1026270,PORT HARDY A                              
1963,13.7,11.4,8.3,11.4,1026270,PORT HARDY A                              
1964,16.9,12.2,9.3,9.6,1026270,PORT HARDY A                              
1965,15.1,12.2,11.1,13.1,1026270,PORT HARDY A                              
1966,16.9,13.3,10.1,11.4,1026270,PORT HARDY A                              
1967,16.0,12.5,8.1,10.2,1026270,PORT HARDY A                              
1968,13.8,11.4,7.9,13.5,1026270,PORT HARDY A                              
1969,18.9,13.1,8.3,10.8,1026270,PORT HARDY A                              
1970,15.2,11.8,9.0,12.1,1026270,PORT HARDY A                              
1971,15.0,14.1,7.8,11.2,1026270,PORT HARDY A                              
1972,14.2,12.8,8.8,11.3,1026270,PORT HARDY A                              
1973,15.7,10.6,9.1,10.4,1026270,PORT HARDY A                              
1974,13.8,12.0,9.7,8.9,1026270,PORT HARDY A                              
1975,16.6,10.1,8.7,12.4,1026270,PORT HARDY A                              
1976,13.8,12.3,7.7,8.7,1026270,PORT HARDY A                              
1977,15.4,13.6,8.9,14.6,1026270,PORT HARDY A                              
1978,17.3,12.4,12.2,12.6,1026270,PORT HARDY A                              
1979,17.4,11.2,9.9,13.2,1026270,PORT HARDY A                              
1980,20.7,12.8,8.5,11.5,1026270,PORT HARDY A                              
1981,14.7,10.4,8.4,9.8,1026270,PORT HARDY A                              
1982,13.9,10.1,7.9,9.3,1026270,PORT HARDY A                              
1983,15.5,10.5,7.8,11.1,1026270,PORT HARDY A                              
1984,14.2,11.0,7.9,10.4,1026270,PORT HARDY A                              
1985,10.6,10.5,9.3,10.3,1026270,PORT HARDY A                              
1986,14.2,11.8,8.8,8.5,1026270,PORT HARDY A                              
1987,15.6,11.1,8.9,10.0,1026270,PORT HARDY A                              
1988,12.0,12.1,10.4,12.3,1026270,PORT HARDY A                              
1989,14.2,12.1,10.2,10.9,1026270,PORT HARDY A                              
1990,14.4,12.1,9.7,11.9,1026270,PORT HARDY A                              
1991,12.6,11.0,9.7,10.7,1026270,PORT HARDY A                              
1992,15.6,10.0,9.1,12.1,1026270,PORT HARDY A                              
1993,14.8,11.8,9.0,8.6,1026270,PORT HARDY A                              
1994,12.6,10.1,7.9,10.5,1026270,PORT HARDY A                              
1995,15.3,11.7,8.5,8.8,1026270,PORT HARDY A                              
1996,12.0,11.8,8.9,11.4,1026270,PORT HARDY A                              
1997,13.8,12.0,8.4,11.0,1026270,PORT HARDY A                              
1998,17.2,9.8,8.4,10.5,1026270,PORT HARDY A                              
1999,15.0,11.5,7.6,10.1,1026270,PORT HARDY A                              
2000,11.5,10.9,8.7,9.7,1026270,PORT HARDY A                              
2001,15.0,11.6,8.9,12.6,1026270,PORT HARDY A                              
2002,16.8,12.6,9.7,9.5,1026270,PORT HARDY A                              
2003,12.9,11.5,8.8,8.3,1026270,PORT HARDY A                              
2004,15.6,9.1,7.1,9.4,1026270,PORT HARDY A                              
2005,11.5,11.2,8.7,11.2,1026270,PORT HARDY A                              
2006,13.8,11.7,10.2,9.7,1026270,PORT HARDY A                              
2007,14.9,12.0,7.9,9.8,1026270,PORT HARDY A                              
2008,11.8,11.0,8.8,10.5,1026270,PORT HARDY A                              
2009,10.9,11.0,7.5,9.5,1026270,PORT HARDY A                              
2010,11.7,10.1,8.3,10.5,1026270,PORT HARDY A                              
2011,13.3,9.8,6.1,10.0,1026270,PORT HARDY A                              
2012,13.2,10.0,7.7,9.2,1026270,PORT HARDY A                              
2013,10.9,10.3,9.8,9.9,1026270,PORT HARDY A                              
2014,14.1,12.7,10.4,12.4,1026270,PORT HARDY A                              
1960,15.0,16.1,13.8,14.4,1038205,TOFINO A                                  
1961,16.3,16.9,14.0,14.8,1038205,TOFINO A                                  
1962,13.7,16.1,13.4,15.0,1038205,TOFINO A                                  
1963,13.4,15.7,13.3,15.9,1038205,TOFINO A                                  
1964,17.2,16.3,14.7,12.2,1038205,TOFINO A                                  
1965,13.7,12.9,12.1,13.4,1038205,TOFINO A                                  
1966,15.9,16.0,12.9,14.4,1038205,TOFINO A                                  
1967,15.9,13.5,12.0,12.9,1038205,TOFINO A                                  
1968,15.2,16.0,13.0,15.9,1038205,TOFINO A                                  
1969,15.2,16.4,13.9,13.9,1038205,TOFINO A                                  
1970,13.6,14.9,11.8,12.0,1038205,TOFINO A                                  
