10476F0,SQUAMISH            ,BC  , station joined    , Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to 2022
10476F0,SQUAMISH            ,BC  , station jointe    , Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a 2022
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1983, -9999.9,M, -9999.9,M, -9999.9,M,     9.2,a,    13.5,a,    14.2,a,    15.6,a, -9999.9,M,    12.6,a,     8.4,a,     5.1,a,    -2.6,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     8.7,a
 1984,     2.0,a,     4.5,a,     7.4,a,     7.8,a,    10.3,a,    14.0,a,    16.9,a, -9999.9,M,    13.3,a,     7.8,a,     2.6,a,    -2.1,a, -9999.9,M,     1.3,a,     8.5,a, -9999.9,M,     7.9,a
 1985,     0.8,a,     1.9,a,     4.7,a,     8.1,a,    12.4,a,    14.8,a, -9999.9,M,    16.5,a,    13.2,a,     8.7,a,    -1.1,a,     0.3,a, -9999.9,M,     0.2,a,     8.4,a, -9999.9,M,     6.9,a
 1986,     3.7,a,     2.5,a,     7.3,a,     7.9,a,    11.9,a,    15.6,a, -9999.9,M,    19.1,a,    14.5,a,    11.4,a,     4.4,a,     2.3,a, -9999.9,M,     2.2,a,     9.0,a, -9999.9,M,    10.1,a
 1987,     2.2,a,     5.3,a,     7.3,a,    10.4,a,    12.5,a,    15.8,a,    17.2,a,    17.7,a,    15.8,a,    11.6,a,     6.4,a,     0.8,a,    10.3,a,     3.3,a,    10.1,a,    16.9,a,    11.3,a
 1988,     1.3,a,     4.2,a,     6.1,a,     9.4,a,    11.6,a,    14.2,a,    17.2,a,    17.6,a,    14.6,a,    11.5,a,     5.2,a,     3.0,a,     9.7,a,     2.1,a,     9.0,a,    16.3,a,    10.4,a
 1989,     1.0,a,     0.0,a,     5.0,a,    10.4,a,    12.1,a,    16.0,a,    17.0,a,    17.3,a,    16.2,a,     9.5,a,     5.5,a,     3.0,a,     9.4,a,     1.3,a,     9.2,a,    16.8,a,    10.4,a
 1990,     2.5,a,     1.2,a,     6.5,a,    10.6,a,    12.5,a,    14.7,a,    19.4,a,    19.2,a,    16.8,a,     8.2,a,     4.8,a,    -1.9,a,     9.5,a,     2.2,a,     9.9,a,    17.8,a,     9.9,a
 1991,    -0.7,a,     6.1,a,     4.9,a,     9.0,a,    12.2,a,    14.4,a,    17.8,a, -9999.9,M,    16.0,a,     9.8,a,     5.6,a,     3.5,a, -9999.9,M,     1.2,a,     8.7,a, -9999.9,M,    10.5,a
 1992,     3.8,a,     6.4,a,     9.7,a,    10.3,a,    14.2,a,    17.6,a,    18.2,a, -9999.9,M,    13.2,a,    10.6,a, -9999.9,M, -9999.9,M, -9999.9,M,     4.6,a,    11.4,a, -9999.9,M, -9999.9,M
