1161663,CLINTON AUT         ,BC  , station joined    , Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to 2022
1161663,CLINTON AUT         ,BC  , station jointe    , Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a 2022
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1993,   -12.4,E,    -6.1,E,    -0.7,E,     4.1,E, -9999.9,M,    11.5,E,    12.5,E,    13.9,E, -9999.9,M,     4.7,E,    -4.9,E, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    12.6,E, -9999.9,M
 1994, -9999.9,M,    -8.2,E, -9999.9,M, -9999.9,M,     9.3,E,    12.2,E, -9999.9,M,    15.5,E,    13.4,E, -9999.9,M,    -4.6,E, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1995, -9999.9,M,    -3.7,E,     0.1,E,     3.8,E,    10.6,E,    13.4,E,    15.5,E,    11.9, ,    12.2,E,     3.6, ,    -1.8, ,    -6.8, , -9999.9,M, -9999.9,M,     4.8,E,    13.6,E,     4.7,E
 1996,   -12.7,E, -9999.9,M, -9999.9,M,     5.2,E,     6.0,E,    10.7,E,    15.0,E,    15.1,E,     8.7,E,     2.4,E,    -6.9, ,   -13.1, , -9999.9,M, -9999.9,M, -9999.9,M,    13.6,E,     1.4,E
 1997,    -6.9,E,    -3.4, ,    -1.5,E,     3.4, ,     9.8, ,    11.4, ,    13.8,E,    15.2,E,    11.6,E,     3.8, ,    -1.8,E,    -3.9,E,     4.3,E,    -7.8,E,     3.9,E,    13.5,E,     4.5,E
 1998,    -8.5,E,    -1.1, ,     0.7, ,     4.7, ,    11.8, ,    13.6, ,    18.0, ,    17.1, ,    12.7,E,     4.3, ,    -0.3,E,    -6.2, ,     5.6,E,    -4.5,E,     5.7, ,    16.2, ,     5.6,E
 1999,    -4.9,E, -9999.9,M,     0.0,E,     4.0,E,     6.7,E,    11.3, ,    13.8, ,    16.2, ,    10.1,E,     3.7, ,     0.0, ,    -3.6,E, -9999.9,M, -9999.9,M,     3.6,E,    13.8, ,     4.6,E
 2000,    -8.1, ,    -4.6, ,     0.8,E,     5.0, ,     7.5,E,    11.7,E,    14.7, ,    13.7,E,     9.7, ,     4.3, ,    -3.1, ,    -7.8,E,     3.7,E,    -5.4,E,     4.4,E,    13.4,E,     3.6, 
 2001,    -4.2, ,    -6.6, ,     0.6, ,     4.0, ,     9.4, ,    10.8, ,    15.0,E,    15.4, , -9999.9,M,     3.1, ,     0.0, ,    -5.8,E, -9999.9,M,    -6.2,E,     4.7, ,    13.7,E, -9999.9,M
 2002,    -6.3, ,    -4.1, ,    -5.3, ,     3.9, ,     6.9, ,    13.9,E,    16.3, ,    15.0, ,     9.8, ,     3.4, ,    -0.3, ,    -3.8, ,     4.1,E,    -5.4,E,     1.8, ,    15.1,E,     4.3, 
