2101135,TUCHITUA            ,YT  , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to 2022
2101135,TUCHITUA            ,YT  , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a 2022
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1967,   -27.3, ,   -18.1, ,   -17.8, ,    -1.7, ,     5.6, ,    12.2, ,    11.8, ,    11.3, ,     6.3, ,    -1.3, ,   -13.5, ,   -23.6, ,    -4.7, , -9999.9,M,    -4.6, ,    11.8, ,    -2.8, 
 1968,   -26.9, ,   -18.5, ,    -7.0, ,    -3.8, ,     5.2, ,    10.3, ,    12.5, ,    10.3, ,     5.2, ,    -3.5, ,   -14.8, ,   -30.8,E,    -5.2,E,   -23.0, ,    -1.9, ,    11.0, ,    -4.4, 
 1969,   -37.2, ,   -21.2, ,   -12.4, ,    -1.0, ,     5.4, ,    13.2, ,    11.2, ,     8.0, ,     4.7, ,    -2.6, ,   -14.0, ,   -18.7,E,    -5.4,E,   -29.7,E,    -2.7, ,    10.8, ,    -4.0, 
 1970,   -25.1, ,   -14.0, ,    -7.6, ,    -0.9, ,     5.9, ,    11.1, ,    12.1, ,    10.4, ,     5.0, ,    -2.8, ,   -16.1, ,   -22.6, ,    -3.7, ,   -19.3,E,    -0.9, ,    11.2, ,    -4.6, 
 1971,   -32.9, ,   -16.8, ,   -14.0, ,    -1.4, ,     4.6, ,    11.8, ,    14.5, ,    12.1, ,     4.4, ,    -4.4, ,   -16.0, ,   -30.3, ,    -5.7, ,   -24.1, ,    -3.6, ,    12.8, ,    -5.3, 
 1972,   -32.4, ,   -26.2, ,   -13.2, ,    -5.9, ,     5.8, ,    11.4, ,    12.6, ,    12.1, ,     2.8, ,    -3.3, ,   -13.4, ,   -26.1, ,    -6.3, ,   -29.6, ,    -4.4, ,    12.0, ,    -4.6, 
 1973,   -25.9, ,   -21.3, ,   -10.3, ,    -0.3, ,     5.7, ,     9.7, ,    12.5, ,     9.7, ,     5.6, ,    -2.5, ,   -24.2, ,   -22.4, ,    -5.3, ,   -24.4, ,    -1.6, ,    10.6, ,    -7.0, 
 1974,   -32.2, ,   -18.1, ,   -16.4, ,    -1.8, ,     4.8, ,     9.9, ,    12.8, ,    11.3, ,     5.7, ,    -0.9, ,   -11.3,E,   -15.8, ,    -4.3,E,   -24.2, ,    -4.5, ,    11.3, ,    -2.2,E
 1975,   -23.3, ,   -22.3, ,   -13.7, ,    -0.3, ,     5.7, ,    11.3, ,    14.4, ,    10.8, ,     7.4, ,    -1.5, ,   -19.3, ,   -27.9, ,    -4.9, ,   -20.5, ,    -2.8, ,    12.2, ,    -4.5, 
 1976, -9999.9,M,   -20.6, ,   -12.1, ,     1.1, ,     6.1, ,    10.3, ,    12.6, ,    11.8, ,     6.9, ,    -1.4, ,   -11.2, ,   -21.1, , -9999.9,M, -9999.9,M,    -1.6, ,    11.6, ,    -1.9, 
 1977,   -16.3, ,    -9.6, ,   -11.4, ,     0.9, ,     6.7, ,    11.6, ,    12.7, ,    13.7, ,     5.5,E,    -1.9, ,   -17.3, , -9999.9,M, -9999.9,M,   -15.7, ,    -1.3, ,    12.7, ,    -4.6,E
 1978,   -22.7, ,   -18.3,E,   -11.6, ,    -0.9, ,     6.1,E,    12.1,E,    13.6, ,    11.2, ,     5.8,E,     1.2,E,   -14.8,E,   -22.3,E,    -3.4,E, -9999.9,M,    -2.1,E,    12.3,E,    -2.6,E
 1979,   -30.2,E,   -28.8,E,    -7.1,E,    -2.5,E,     4.7,E,    10.3,E,    14.6,E, -9999.9,M,     7.1,E,    -0.5,E,    -9.9,E,   -22.1,E, -9999.9,M,   -27.1,E,    -1.6,E, -9999.9,M,    -1.1,E
 1980,   -27.2, ,   -16.3,E,   -12.0,E,     1.1, ,     7.2, ,    12.7, ,    13.2, ,    10.1,E,     4.7, ,     0.7,E,    -7.8,E, -9999.9,M, -9999.9,M,   -21.9,E,    -1.2,E,    12.0,E,    -0.8,E
