220N005,TRAIL VALLEY        ,NWT , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to 2022
220N005,TRAIL VALLEY        ,NWT , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a 2022
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1998, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     5.4,E,    -5.2, ,   -15.7,E,   -19.1,E, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -5.2,E
 1999,   -26.8, ,   -24.0, ,   -24.0, , -9999.9,M, -9999.9,M, -9999.9,M,    10.1, ,    11.0, ,     3.9, ,    -9.9, ,   -19.8, ,   -26.0, , -9999.9,M,   -23.3,E, -9999.9,M, -9999.9,M,    -8.6, 
 2000,   -22.6, ,   -24.0, ,   -24.5,E,   -15.4, ,    -6.7, ,    10.2, ,    12.5, ,     7.4, ,     2.4, ,    -8.6, ,   -18.1, ,   -26.3, ,    -9.5,E,   -24.2, ,   -15.5,E,    10.0, ,    -8.1, 
 2001,   -21.0, ,   -21.5, ,   -25.5, , -9999.9,M, -9999.9,M, -9999.9,M,    11.7,E,    10.5, ,     5.5, ,    -7.3, ,   -18.2, ,   -21.5, , -9999.9,M,   -22.9, , -9999.9,M, -9999.9,M,    -6.7, 
 2002,   -25.1, ,   -27.5, ,   -19.7,E, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     7.7, ,     5.6, ,    -5.6, ,   -14.3, ,   -15.6, , -9999.9,M,   -24.7, , -9999.9,M, -9999.9,M,    -4.8, 
 2003,   -26.1, ,   -25.5, ,   -23.9, ,    -9.9, ,    -2.1, ,     7.6, ,    13.0, ,     8.8, ,     2.6, ,    -2.8, ,   -17.2, ,   -26.1, ,    -8.5, ,   -22.4, ,   -12.0, ,     9.8, ,    -5.8, 
 2004,   -28.5, ,   -30.3, ,   -26.9, ,   -14.2, ,    -4.9, ,    10.9, ,    13.6, ,    10.3, ,     1.9, ,    -8.3, ,   -21.7, ,   -28.9, ,   -10.6, ,   -28.3, ,   -15.3, ,    11.6, ,    -9.4, 
 2005,   -22.0, , -9999.9,M, -9999.9,M,   -13.1, ,    -0.3, , -9999.9,M,     8.9, ,     9.5, ,     2.8, ,    -6.0, ,   -20.3, ,   -18.9, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -7.8, 
 2006,   -25.9, ,   -16.6, ,   -24.6, ,   -16.3, ,     0.6, ,    10.9, ,    12.9, ,    11.4, ,     7.2, ,    -3.8,E,   -19.7,E,   -18.3, ,    -6.9,E,   -20.5, ,   -13.4, ,    11.7, ,    -5.4,E
 2007,   -23.4, ,   -27.3,E,   -26.0, ,   -10.8,E,    -4.5, ,     9.1, ,    13.7, ,    10.0,E,     3.7, ,    -8.6,E,   -17.4, ,   -22.7,E,    -8.7,E,   -23.0,E,   -13.8,E,    10.9,E,    -7.4,E
