2400697,CAPE PEEL WEST      ,NU  , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to 2022
2400697,CAPE PEEL WEST      ,NU  , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a 2022
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1992, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1993,   -29.5,E,   -31.2, ,   -26.4, , -9999.9,M,    -7.7,E,     3.0,E,     9.5,E,     6.4,E, -9999.9,M, -9999.9,M,   -23.7,E,   -31.0,E, -9999.9,M, -9999.9,M, -9999.9,M,     6.3,E, -9999.9,M
 1994,   -33.7,E,   -32.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -27.4,E, -9999.9,M,   -32.5,E, -9999.9,M, -9999.9,M, -9999.9,M
 1995,   -27.7,E,   -30.6, ,   -29.3,E,   -16.5,E,   -11.5,E,     4.0, ,     7.7,E,     6.5,E,    -1.6, ,   -12.7, ,   -22.5, ,   -32.1, ,   -13.9,E,   -28.6,E,   -19.1,E,     6.1,E,   -12.3, 
 1996,   -32.6, ,   -29.0, ,   -27.3,E,   -20.6,E,    -8.6,E,     6.9,E,    12.8, ,     5.0,E,     0.9, ,   -12.8,E,   -20.1,E,   -28.1, ,   -12.8,E,   -31.2, ,   -18.8,E,     8.2,E,   -10.7,E
 1997,   -30.6,E,   -31.0, ,   -29.2,E,   -19.0, ,    -9.9,E,     0.2, ,    10.4, ,     5.9, ,    -1.2,E,   -14.2, ,   -17.8, ,   -26.6,E,   -13.6,E,   -29.9,E,   -19.4,E,     5.5, ,   -11.1,E
 1998,   -33.4,E,   -32.4,E,   -25.3,E,   -16.7, ,    -6.7,E,     4.7,E,    11.3, ,     9.4, ,     2.5,E,    -7.3, ,   -15.3, ,   -22.9,E,   -11.0,E,   -30.8,E,   -16.2,E,     8.5,E,    -6.7,E
 1999,   -30.4, ,   -28.1,E,   -22.4,E,   -18.6, ,   -10.0, ,     2.3,E,     7.0,E,     6.8, ,     0.4, ,   -11.1,E,   -18.7,E,   -28.7, ,   -12.6,E,   -27.1,E,   -17.0,E,     5.4,E,    -9.8,E
 2000,   -28.7, ,   -29.6, ,   -26.0, ,   -20.0,E,    -9.1, ,     3.3, ,    11.5, ,     6.9, ,    -1.4, ,   -12.4, ,   -22.4, ,   -29.2, ,   -13.1,E,   -29.0, ,   -18.4,E,     7.2, ,   -12.1, 
 2001,   -30.4, ,   -29.8, ,   -27.4, ,   -20.6, ,    -8.2, ,     1.3, , -9999.9,M, -9999.9,M,     2.6, ,   -13.2, ,   -21.1, ,   -22.9, , -9999.9,M,   -29.8, ,   -18.7, , -9999.9,M,   -10.6, 
 2002,   -29.9, ,   -33.2, ,   -28.2, ,   -23.3, ,   -10.4, ,     3.3, ,     9.1, ,     6.1, ,     0.3, ,    -9.8, ,   -22.4, , -9999.9,M, -9999.9,M,   -28.7, ,   -20.6, ,     6.2, ,   -10.6, 
 2003, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 2004, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 2005, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
