2403756,STEFANSSON ISLAND   ,NU  , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to 2022
2403756,STEFANSSON ISLAND   ,NU  , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a 2022
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 2002, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     2.2, ,    -2.4, , -9999.9,M, -9999.9,M,   -25.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 2003,   -28.7, ,   -33.9, ,   -33.6, ,   -22.0, ,   -11.2, ,    -1.8, ,     4.4, ,     0.6, ,    -2.8, ,   -12.5, ,   -21.3, ,   -30.3, ,   -16.1, ,   -29.4, ,   -22.3, ,     1.1, ,   -12.2, 
 2004, -9999.9,M, -9999.9,M,   -36.7, ,   -24.8,E,   -12.6, ,    -2.3, ,     1.9, ,     0.5, ,    -6.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -24.7,E,     0.0, , -9999.9,M
 2005, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     0.0, ,     2.0, ,     1.1, ,    -5.3, ,   -14.9, ,   -26.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     1.0, ,   -15.6, 
 2006, -9999.9,M,   -29.3, ,   -27.9, ,   -21.9, ,    -6.2, ,     0.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -18.7, , -9999.9,M, -9999.9,M
 2007, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     1.1,E, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 2008, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     0.5, ,     2.7, ,     0.9,E,    -4.6,E,   -11.4,E,   -22.7,E,   -29.2,E, -9999.9,M, -9999.9,M, -9999.9,M,     1.4,E,   -12.9,E
 2009,   -28.3, ,   -34.0, ,   -35.2,E,   -22.9,E,   -11.0, ,    -0.5, ,     3.2,E,     2.8, ,    -3.0, ,   -13.8,E,   -20.5,E, -9999.9,M, -9999.9,M,   -30.5,E,   -23.0,E,     1.8,E,   -12.4,E
 2010, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -2.4,E,    -8.5,E,   -19.2,E,   -24.7,E, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -10.0,E
 2011,   -30.0,E,   -32.5, ,   -27.6,E,   -24.1,E,   -11.1,E, -9999.9,M,     4.8,E,     3.2,E,    -1.5,E,   -11.6, ,   -21.2, ,   -29.6, , -9999.9,M,   -29.1,E,   -20.9,E, -9999.9,M,   -11.4,E
