2502505,HOLMAN CS           ,NWT , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to 2022
2502505,HOLMAN CS           ,NWT , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a 2022
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 2000, -9999.9,M, -9999.9,M, -9999.9,M,   -17.6, ,    -8.5, ,     5.3, ,     9.7, ,     5.9, ,    -0.2, , -9999.9,M,   -20.8, ,   -25.9, , -9999.9,M, -9999.9,M, -9999.9,M,     7.0, , -9999.9,M
 2001,   -25.8, ,   -24.9, ,   -25.7, ,   -16.3, ,    -5.7, ,     3.5, ,    10.2, ,     6.4, ,     4.1, ,    -9.2, ,   -17.5, ,   -19.7, ,   -10.1, ,   -25.5, ,   -15.9, ,     6.7, ,    -7.5, 
 2002,   -26.7, ,   -31.6, ,   -25.7, ,   -21.1, ,    -7.6, ,     4.6, ,     6.4, ,     3.4, ,     2.1, ,    -7.1, ,   -17.2, ,   -18.5, ,   -11.6, ,   -26.0, ,   -18.1, ,     4.8, ,    -7.4, 
 2003,   -25.2, ,   -31.5, ,   -26.8, ,   -15.7, ,    -7.6, ,     1.6, ,     7.6, ,     5.5, ,     1.9, ,    -6.2, ,   -17.7, ,   -26.9, ,   -11.8, ,   -25.1, ,   -16.7, ,     4.9, ,    -7.3, 
 2004,   -29.2, ,   -33.1, ,   -32.3, ,   -19.9, ,   -11.2, ,     3.1, ,     6.8, ,     4.7, ,    -0.3, ,   -11.7, ,   -20.0, ,   -28.9, ,   -14.3, ,   -29.7, ,   -21.1, ,     4.9, ,   -10.7, 
 2005,   -27.7, ,   -30.9, ,   -25.6, ,   -14.8, ,    -7.4, ,     4.0, ,     6.2, ,     5.5, ,    -0.2, ,    -8.5, ,   -18.9, ,   -21.8, ,   -11.7, ,   -29.2, ,   -15.9, ,     5.2, ,    -9.2, 
 2006,   -25.9, ,   -21.9, ,   -22.3, ,   -17.1, ,    -2.0, ,     5.7, ,     8.9, ,    10.9, ,     3.9, ,    -5.9, ,   -18.5, ,   -20.7, ,    -8.7, ,   -23.2, ,   -13.8, ,     8.5, ,    -6.8, 
 2007,   -25.4,E,   -27.3, ,   -28.7, ,   -14.8, ,    -8.6,E,     5.6, ,    13.5, ,     7.2, ,    -0.3, ,    -9.0, ,   -22.3, ,   -24.2,E,   -11.2,E,   -24.5,E,   -17.4,E,     8.8, ,   -10.5, 
 2008,   -27.6, ,   -29.0, ,   -29.9, ,   -17.5, ,    -3.7, ,     5.1, ,    10.1, ,     6.2, ,     0.1, ,    -5.7, ,   -16.5,E,   -25.1, ,   -11.1,E,   -26.9,E,   -17.0, ,     7.1, ,    -7.4,E
 2009,   -27.0, ,   -27.7, ,   -31.3, ,   -17.0, ,    -8.1, ,     4.0, ,     5.6, ,     7.2,E,     1.6, ,    -9.1, ,   -15.8, ,   -22.2, ,   -11.7,E,   -26.6, ,   -18.8, ,     5.6,E,    -7.8, 
 2010,   -26.1, ,   -24.1, ,   -19.9,E,    -7.6,E,    -5.1,E,     6.8,E,    11.2, ,     8.9,E,     1.9, ,    -5.8, ,   -15.9, ,   -24.1, ,    -8.3,E,   -24.1, ,   -10.9,E,     9.0,E,    -6.6, 
 2011,   -27.5, ,   -27.0, ,   -23.4, ,   -20.8, ,    -5.9, ,     3.1, ,    12.0, ,    11.2,E,     2.7, ,    -6.9, ,   -19.2, ,   -26.6,E,   -10.7,E,   -26.2, ,   -16.7, ,     8.8,E,    -7.8, 
 2012,   -26.5, ,   -24.6, ,   -28.3, ,   -15.4, ,    -3.6, ,     7.5, ,    12.3, ,     8.7,E,     3.9, ,    -4.9,E,   -17.1,E,   -26.2, ,    -9.5,E,   -25.9,E,   -15.8, ,     9.5,E,    -6.0,E
 2013,   -30.8, ,   -30.9, ,   -25.4, ,   -19.1, ,    -7.3, ,     5.8, ,     7.5,E,     8.1,E,     1.3, ,    -4.6, ,   -17.4, ,   -26.1, ,   -11.6,E,   -29.3, ,   -17.3, ,     7.1,E,    -6.9, 
 2014,   -29.7, ,   -27.8, ,   -24.9,E,   -18.5,E,    -6.4, ,     5.2, ,     9.7, ,     6.6, ,    -0.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -27.9, ,   -16.6,E,     7.2, , -9999.9,M
 2015, -9999.9,M,   -29.4,E, -9999.9,M, -9999.9,M, -9999.9,M,     4.6, ,    10.6, ,     8.3, ,     2.4, ,    -9.9, ,   -17.0, ,   -25.5, , -9999.9,M, -9999.9,M, -9999.9,M,     7.8, ,    -8.2, 
 2016,   -22.6, ,   -28.0, ,   -24.1, ,   -18.2, ,    -4.3, , -9999.9,M,    10.2, ,     8.1, ,     1.4, ,    -6.6, ,   -13.8, ,   -21.8, , -9999.9,M,   -25.4, ,   -15.5, , -9999.9,M,    -6.3, 
 2017,   -24.9, ,   -26.9, ,   -27.9,E,   -18.5, ,    -3.1, ,     5.4, ,     9.2, ,    10.0, ,     2.0, ,    -8.1, ,   -18.1,E,   -23.0, ,   -10.3,E,   -24.5, ,   -16.5,E,     8.2, ,    -8.1,E
 2018,   -22.6, ,   -25.3,E,   -25.8, ,   -18.8,E,    -9.5, ,     3.3,E,     6.4, ,     3.7, ,    -2.3, ,    -8.2, ,   -18.3, ,   -19.3, ,   -11.4,E,   -23.6,E,   -18.0,E,     4.5,E,    -9.6, 
 2019,   -26.3, ,   -23.6, ,   -18.2, ,   -17.0, ,    -5.6, ,     2.7, ,     7.3, ,     5.4, ,     1.9, ,    -6.3, ,   -16.5, ,   -27.2, ,   -10.3, ,   -23.1, ,   -13.6, ,     5.1, ,    -7.0, 
 2020,   -26.6, ,   -30.9, ,   -27.1, ,   -17.9, ,    -7.1, ,     4.6, ,     8.8, ,     7.9, ,     1.3, ,    -5.8, ,   -17.2, ,   -23.2, ,   -11.1, ,   -28.2, ,   -17.4, ,     7.1, ,    -7.2, 
 2021,   -23.9, ,   -31.5, ,   -25.6, ,   -17.3, ,    -6.1, ,     4.5, ,     7.2, ,     6.1, ,     2.2, ,    -1.6, ,   -14.5, ,   -25.5, ,   -10.5, ,   -26.2, ,   -16.3, ,     5.9, ,    -4.6, 
 2022,   -28.3, ,   -30.7, ,   -25.3, ,   -18.3, ,    -3.0, ,     4.2, ,    11.3, ,     7.7, ,     2.3, ,    -7.4, ,   -17.0, ,   -26.2, ,   -10.9, ,   -28.2, ,   -15.5, ,     7.7, ,    -7.4, 
