3012710,FORT SASKATCHEWAN   ,ALTA, station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to 2022
3012710,FORT SASKATCHEWAN   ,ALTA, station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a 2022
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1958, -9999.9,M, -9999.9,M,    -5.8, ,     4.9, ,    13.5, ,    14.5, ,    17.3, ,    18.0, ,    10.4, ,     5.9, ,    -4.9, ,   -11.1, , -9999.9,M, -9999.9,M,     4.2, ,    16.6, ,     3.8, 
 1959,   -21.2, ,   -13.0, ,     0.4, ,     5.0, ,     8.5, ,    14.2, ,    18.0, ,    14.2, ,     9.8, ,     2.9, ,    -5.7, ,    -4.1, ,     2.4, ,   -15.1, ,     4.6, ,    15.5, ,     2.3, 
 1960,   -15.4, ,   -12.4, ,    -8.4, ,     5.7, ,     9.8, ,    13.6, ,    17.6, ,    16.0, ,    11.7, ,     5.8, ,    -5.7, ,    -8.2, ,     2.5, ,   -10.6, ,     2.4, ,    15.7, ,     3.9, 
 1961,   -10.4, , -9999.9,M,    -3.4, ,     3.0, ,    12.4, ,    18.8, ,    18.1, ,    18.7, ,     8.5, ,     2.7, ,    -7.5, ,   -19.4, , -9999.9,M, -9999.9,M,     4.0, ,    18.5, ,     1.2, 
 1962, -9999.9,M, -9999.9,M,   -10.6, ,     5.0, ,    11.0, ,    15.3, , -9999.9,M, -9999.9,M,    12.1, ,     6.6, ,    -1.1, ,    -7.3, , -9999.9,M, -9999.9,M,     1.8, , -9999.9,M,     5.9, 
 1963,   -15.3, ,    -8.6, ,    -2.7, ,     4.9, ,    10.0, ,    15.3, , -9999.9,M, -9999.9,M, -9999.9,M,     7.8, ,    -6.7, ,   -10.8, , -9999.9,M,   -10.4, ,     4.1, , -9999.9,M, -9999.9,M
 1964,   -11.0, ,    -3.5, ,    -9.7, ,     4.6, ,    11.0, ,    15.3, ,    17.9, ,    15.2, ,     8.4, ,     7.0, ,    -6.4, ,   -20.6, ,     2.4, ,    -8.4, ,     2.0, ,    16.1, ,     3.0, 
 1965,   -17.0, , -9999.9,M,   -10.2, ,     3.3, ,    10.2, ,    14.4, ,    18.1, ,    17.3, ,     5.8, ,     7.7, ,    -7.6, ,   -12.1, , -9999.9,M, -9999.9,M,     1.1, ,    16.6, ,     2.0, 
 1966,   -24.1, ,   -12.0, ,    -5.8, , -9999.9,M, -9999.9,M,    13.4, ,    16.5, ,    14.9, ,    12.8, ,     4.4, ,    -8.9, ,   -11.5, , -9999.9,M,   -16.1, , -9999.9,M,    14.9, ,     2.8, 
 1967,   -16.6, ,   -10.3, ,   -10.9, ,    -0.9, ,    10.1, , -9999.9,M,    18.0, ,    18.9, ,    15.2, , -9999.9,M,    -3.3, , -9999.9,M, -9999.9,M,   -12.8, ,    -0.6, , -9999.9,M, -9999.9,M
 1968, -9999.9,M,    -7.8, ,     0.8, ,     3.9, ,    10.5, ,    14.0, ,    16.6, ,    13.9, ,    10.6, ,     4.5, ,    -1.9, ,   -17.4, , -9999.9,M, -9999.9,M,     5.1, ,    14.8, ,     4.4, 
 1969,   -28.2, ,   -14.2, ,    -6.7, ,     6.8, ,    11.0, ,    15.4, ,    16.2, ,    16.3, ,    10.3, ,     2.1, ,    -1.8, ,    -7.4, ,     1.7, ,   -19.9, ,     3.7, ,    16.0, ,     3.5, 
 1970,   -18.2, ,    -7.6, ,    -7.5, ,     3.9, ,    11.1, ,    18.3, ,    17.3, ,    16.7, ,     9.8, ,     3.1, ,    -9.3,E,   -19.1, ,     1.5,E,   -11.1, ,     2.5, ,    17.4, ,     1.2,E
 1971,   -19.6,E,    -9.7, ,    -7.7, ,     4.4, , -9999.9,M,    14.6, ,    16.2, ,    18.6, ,    10.0, ,     4.5, ,    -4.9, ,   -17.5, , -9999.9,M,   -16.1,E, -9999.9,M,    16.5, ,     3.2, 
 1972,   -18.6,E,   -15.9, ,    -4.9, ,     2.8, ,    12.5, ,    15.8, ,    14.5, ,    16.8, ,     6.4, ,     3.4, ,    -3.6, ,   -16.1, ,     1.1,E,   -17.3,E,     3.5, ,    15.7, ,     2.1, 
 1973,   -12.2, ,   -10.2, ,    -1.1, ,     3.6, ,    12.0, ,    15.4, ,    17.0, ,    15.2, ,    10.5, ,     4.5, ,   -13.1, ,   -12.7, ,     2.4, ,   -12.8, ,     4.8, ,    15.9, ,     0.6, 
 1974,   -18.6, ,   -10.2, ,   -10.2, ,     4.2, ,     9.0, ,    15.7, ,    16.7, ,    13.8, ,     9.4, ,     7.9, ,    -1.9, ,    -5.2, ,     2.6, ,   -13.8, ,     1.0, ,    15.4, ,     5.1, 
 1975,   -11.3, ,   -14.1, ,    -8.2, ,     1.0, ,    10.5, ,    14.3, ,    18.9, ,    13.5, ,    11.7, ,     4.3, ,    -3.5, ,   -11.3, ,     2.2, ,   -10.2, ,     1.1, ,    15.6, ,     4.2, 
 1976,   -11.7, ,    -7.6, ,    -3.8, ,     7.4, ,    12.3, ,    13.3, ,    16.9, ,    17.4, ,    12.8, ,     4.7, ,    -1.2, ,    -8.8, ,     4.3, ,   -10.2, ,     5.3, ,    15.9, ,     5.4, 
 1977,   -12.8, ,    -1.3, ,    -3.0, ,     7.5, ,    11.9, ,    16.0, ,    15.3, ,    12.6, ,    10.7, ,     5.7, ,    -5.4, ,   -16.2, ,     3.4, ,    -7.6, ,     5.5, ,    14.6, ,     3.7, 
 1978,   -17.7, ,   -12.9, ,    -3.5, ,     5.7, ,    10.6, ,    15.3, ,    16.5, ,    14.9,E,    10.6, ,     7.0,E,    -5.5,E,   -11.2, ,     2.5,E,   -15.6, ,     4.3, ,    15.6,E,     4.0,E
 1979,   -16.2, ,   -22.8, ,    -2.7, ,     0.8,E,     9.2, ,    15.3,E,    17.9, ,    16.1, ,    13.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -16.7, ,     2.4,E,    16.4,E, -9999.9,M
 1980, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -15.4,E, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1981,    -6.7,E,    -8.4,E,    -0.5,E,     4.7, ,    12.7, ,    13.7, ,    16.3,E, -9999.9,M, -9999.9,M, -9999.9,M,    -0.3,E,   -11.2,E, -9999.9,M,   -10.2,E,     5.6,E, -9999.9,M, -9999.9,M
 1982,   -25.0, ,   -16.8, ,    -8.6, ,    -0.3, ,    10.4, ,    16.1, ,    16.4,E,    13.5,E,    11.3, ,     5.5,E,    -9.5, ,   -10.0,E,     0.3,E,   -17.7,E,     0.5, ,    15.3,E,     2.4,E
 1983,   -10.6,E,    -8.1,E,    -4.0,E,     5.4,E,    10.4,E,    14.4, ,    17.3,E,    17.8, , -9999.9,M,     5.4,E,    -3.7, ,   -19.9, , -9999.9,M,    -9.6,E,     3.9,E,    16.5,E, -9999.9,M
 1984,    -7.4,E,    -2.2,E,    -2.9,E,     6.9,E, -9999.9,M,    14.9,E,    16.8, ,    17.4, ,     7.9,E,     1.9, ,   -10.9,E,   -17.7,E, -9999.9,M,    -9.8,E, -9999.9,M,    16.4,E,    -0.4,E
 1985,   -10.0, ,   -14.2, ,    -2.5,E,     4.5, ,    12.4, ,    13.0,E,    16.8, ,    14.6, ,     7.6, ,     3.3, ,   -14.5, ,    -7.0, ,     2.0,E,   -14.0,E,     4.8,E,    14.8,E,    -1.2, 
 1986,    -7.8,E,   -14.1, ,     0.2, ,     3.9, ,    12.4, ,    15.2, , -9999.9,M,    16.0, ,     8.5, ,     6.5, ,    -8.7,E,    -5.4, , -9999.9,M,    -9.6,E,     5.5, , -9999.9,M,     2.1,E
 1987,    -6.3, ,    -4.0, ,    -5.4, ,     7.1, ,    11.7, ,    16.4, ,    16.9, ,    13.3, ,    13.2, ,     5.9, ,     0.4,E,    -5.9, ,     5.3,E,    -5.2, ,     4.5, ,    15.5, ,     6.5,E
 1988,   -13.0, ,    -8.2,E,     2.1,E,     6.8, ,    13.7, ,    16.9, ,    16.3, ,    15.8,E,    11.1, , -9999.9,M,    -4.3, ,    -7.9, , -9999.9,M,    -9.0,E,     7.5,E,    16.3,E, -9999.9,M
 1989,   -10.7,E,   -15.2,E,   -10.1,E, -9999.9,M,    10.6, ,    15.1, ,    17.2, ,    16.1,E,    11.2, ,     4.6,E,    -3.3,E,    -8.3,E, -9999.9,M,   -11.3,E, -9999.9,M,    16.1,E,     4.2,E
 1990,    -8.0, ,   -11.3, ,    -0.9,E,     4.5,E,    11.1, ,    15.4,E,    16.7,E,    16.0,E,    13.0,E,     3.0,E,    -8.0,E,   -14.9,E,     3.1,E,    -9.2,E,     4.9,E,    16.0,E,     2.7,E
 1991,   -12.2, ,    -1.9,E,    -5.4, ,     6.4,E,    11.5, ,    14.2,E,    17.0, ,    19.0, ,    11.4,E,     1.0,E,    -6.6,E,    -9.9, ,     3.7,E,    -9.7,E,     4.2,E,    16.7,E,     1.9,E
 1992,    -7.4, ,    -8.2, ,     1.4, ,     6.1,E,     9.6,E,    15.8,E,    15.5, ,    15.0,E,     8.5,E,     4.4, ,    -2.1,E,   -16.2,E,     3.5,E,    -8.5, ,     5.7,E,    15.4,E,     3.6,E
 1993,   -15.6, ,    -9.6, ,    -1.4,E,     4.4,E,    12.2,E,    14.5,E,    15.3,E,    14.8,E,    10.8,E,     5.2, ,    -4.3, ,    -5.9,E,     3.4,E,   -13.8,E,     5.1,E,    14.9,E,     3.9,E
 1994,   -15.9, ,   -19.1,E,    -0.7,E,     5.9,E,    11.6,E,    14.2, ,    17.7,E,    15.8, ,    13.1,E,     4.9,E,    -5.8, ,   -12.2, ,     2.5,E,   -13.6,E,     5.6,E,    15.9,E,     4.1,E
 1995,   -12.6, ,    -9.7,E,    -3.7,E,     4.1, ,    11.3, ,    15.6,E,    16.4, ,    13.1, ,    11.9, ,     4.2, ,    -8.8,E,   -16.1, ,     2.1,E,   -11.5,E,     3.9,E,    15.0,E,     2.4,E
 1996,   -20.0,E,   -10.3,E,    -6.1,E,     5.6, ,     8.1,E,    13.6, ,    16.3,E,    16.7,E,     9.7, ,     4.2,E,   -10.6, ,   -17.2,E,     0.8,E,   -15.5,E,     2.5,E,    15.5,E,     1.1,E
 1997,   -16.1, ,    -5.4, ,    -5.6, ,     2.4,E,    11.1,E,    15.5,E,    17.2, ,    16.6,E,    12.8, ,     3.8,E,    -2.2, ,    -3.4,E,     3.9,E,   -12.9,E,     2.6,E,    16.4,E,     4.8,E
 1998,   -18.0,E,    -5.7,E,    -3.3,E,     7.3,E,    14.6, ,    15.1, ,    18.3,E,    18.5, ,    12.0,E,     6.1,E,    -5.4,E,   -12.2,E,     3.9,E,    -9.0,E,     6.2,E,    17.3,E,     4.2,E
