4036844,ROCKGLEN (AUT)      ,SASK, station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to 2022
4036844,ROCKGLEN (AUT)      ,SASK, station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a 2022
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1970, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1971,   -17.5, ,   -10.0, ,    -6.3, ,     4.3, ,    11.4, ,    15.9, ,    17.1, ,    21.9, ,    11.8, ,     4.8, ,    -2.9, ,   -14.6, ,     3.0, , -9999.9,M,     3.1, ,    18.3, ,     4.6, 
 1972,   -18.2, ,   -14.6, ,    -4.2, ,     4.3, ,    11.3, ,    16.2, ,    15.6, ,    19.5, ,     9.3, ,     2.9, ,    -2.6, ,   -14.1, ,     2.1, ,   -15.8, ,     3.8, ,    17.1, ,     3.2, 
 1973,    -8.0, ,    -7.1, ,     1.5, ,     2.3, ,    11.2, ,    15.8, ,    18.6, ,    20.3, ,    11.2, ,     7.5, ,    -8.8, ,   -10.4, ,     4.5, ,    -9.7, ,     5.0, ,    18.2, ,     3.3, 
 1974,   -14.8, ,    -7.5, ,    -7.0, ,     4.7, ,     7.8, ,    16.5, ,    20.0, ,    14.3, ,     9.8, ,     7.5, ,    -2.4, ,    -5.6, ,     3.6, ,   -10.9, ,     1.8, ,    16.9, ,     5.0, 
 1975,   -10.9, ,   -13.5, ,    -7.9, ,    -1.9, ,     9.2, ,    14.5, ,    20.7, ,    15.5, ,    11.5, ,     5.0, ,    -3.0, ,    -8.9, ,     2.5, ,   -10.0, ,    -0.2, ,    16.9, ,     4.5, 
 1976,   -10.4, ,    -5.4, ,    -5.2, ,     6.6, ,    12.4, ,    14.7, ,    18.7, ,    18.8, ,    14.1, ,     3.9, ,    -4.3, ,    -9.4, ,     4.5, ,    -8.2, ,     4.6, ,    17.4, ,     4.6, 
 1977,   -16.1, ,    -3.0, ,    -0.8, ,     7.8, ,    14.1, ,    16.3, ,    18.3, ,    14.3, ,    11.6, ,     6.5, ,    -5.2, ,   -14.2, ,     4.1, ,    -9.5, ,     7.0, ,    16.3, ,     4.3, 
 1978,   -18.9, ,   -14.0, ,    -4.4, ,     4.1, ,    11.5, ,    15.4, ,    17.6, ,    17.5, ,    13.1, ,     6.4, ,    -8.1, ,   -13.6, ,     2.2, ,   -15.7, ,     3.7, ,    16.8, ,     3.8, 
 1979,   -18.9, ,   -18.5, ,    -4.7, ,    -0.4, ,     7.4, ,    15.9, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -17.0, ,     0.8, , -9999.9,M, -9999.9,M
