6130257,AMHERSTBURG         ,ONT , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to 2022
6130257,AMHERSTBURG         ,ONT , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a 2022
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1988, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    24.8,E,    24.6, ,    17.7, ,     8.2, ,     5.6,E,    -1.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    10.5,E
 1989,     0.4, ,    -4.3, ,     1.0, ,     6.9, ,    14.1, ,    19.9, ,    22.6, ,    21.7, ,    17.2, ,    11.5, ,     3.4, ,    -7.4, ,     8.9, ,    -1.8, ,     7.3, ,    21.4, ,    10.7, 
 1990,     1.1, ,    -0.3, ,     4.0, ,     9.7, ,    13.9, ,    20.4, ,    22.4, ,    21.4, ,    17.7, ,    11.5, ,     6.5, ,     0.3, ,    10.7, ,    -2.2, ,     9.2, ,    21.4, ,    11.9, 
 1991,    -3.6,E,    -0.3,E,     4.2, ,    10.8, ,    19.1,E,    22.4, ,    24.1, ,    22.9, ,    17.5, ,    12.6, ,     3.3, ,     0.2, ,    11.1,E,    -1.2,E,    11.4,E,    23.1, ,    11.1, 
 1992,    -1.9,E,    -0.6, ,     1.6, ,     7.8, ,    14.3,E,    18.2, ,    21.2, ,    20.0, ,    17.4, ,    10.2, ,     4.6, ,     0.5, ,     9.4,E,    -0.8,E,     7.9,E,    19.8, ,    10.7, 
 1993,    -1.7, ,    -4.4, ,     0.7, ,     8.5, ,    15.2, ,    19.7, ,    23.9,E,    23.0,E,    15.7, ,    10.1, ,     4.4, ,    -1.0,E,     9.5,E,    -1.9, ,     8.1, ,    22.2,E,    10.1, 
 1994,    -8.4, ,    -5.0, ,     2.2, ,     9.8, ,    14.1, ,    21.4, ,    23.0, ,    20.5, ,    18.8,E,    12.4, ,     7.2, ,     1.3, ,     9.8,E,    -4.8,E,     8.7, ,    21.6, ,    12.8,E
 1995,    -2.3, ,    -4.2, ,     3.3, ,     6.6,E,    14.8, ,    21.4,E,    23.8, ,    24.5, ,    16.6, ,    12.5,E,     1.8, ,    -3.1,E,     9.6,E,    -1.7, ,     8.2,E,    23.2,E,    10.3,E
 1996,    -4.7, ,    -3.5, ,    -0.8,E,     6.9, ,    13.6,E,    21.4, ,    21.7, ,    22.8, ,    18.2, ,    11.3, ,     1.8, ,    -0.3, ,     9.0,E,    -3.8,E,     6.6,E,    22.0, ,    10.4, 
 1997,    -5.3, ,    -0.6, ,     2.8, ,     7.3, ,    11.0, ,    20.4, ,    22.3, ,    20.2, ,    17.8, ,    11.4, ,     3.0, ,     0.0,E,     9.2,E,    -2.1, ,     7.0, ,    21.0, ,    10.7, 
 1998,     0.1, ,     2.1, ,     3.9, ,     9.7, ,    18.5, ,    20.9, ,    23.4,E,    23.0,E,    20.5, ,    12.3,E,     6.8, ,     2.0, ,    11.9,E,     0.7,E,    10.7, ,    22.4,E,    13.2,E
 1999,    -4.8, ,     0.0,E,     1.3, ,     9.6, ,    16.7,E,    21.9,E,    25.5, ,    21.7, ,    19.1, ,    10.9, ,     6.7,E,    -0.3, ,    10.7,E,    -0.9,E,     9.2,E,    23.0,E,    12.2,E
