7025251,MONTREAL  TRUDEAU IN,QUE , station joined    , Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to 2022
7025251,MONTREAL  TRUDEAU IN,QUE , station jointe    , Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a 2022
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1941, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    15.8, ,     8.2, ,     2.4, ,    -5.6, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     8.8, 
 1942,    -9.5, ,    -9.6, , -9999.9,M,     7.4, ,    15.4, ,    19.2, ,    21.0, ,    19.6, ,    15.6, ,     9.6, ,     1.6, ,   -10.0, , -9999.9,M,    -8.2, , -9999.9,M,    19.9, ,     8.9, 
 1943,   -13.4, ,    -7.7, ,    -4.7, ,     1.9, ,    12.6, ,    18.9, ,    22.0, ,    19.2, ,    14.1, ,     8.6, ,     1.3, ,    -9.3, ,     5.3, ,   -10.4, ,     3.3, ,    20.0, ,     8.0, 
 1944,    -7.9, ,    -9.9, ,    -4.8, ,     3.7, ,    16.0, ,    18.4, ,    21.7, ,    22.2, ,    16.0, ,     8.3, ,     2.1, ,   -10.1, ,     6.3, ,    -9.0, ,     5.0, ,    20.8, ,     8.8, 
 1945,   -14.7, ,    -7.6, ,     2.7, ,     8.7, ,    11.2, ,    17.9, ,    20.9, ,    20.5, ,    16.4, ,     7.9, ,     1.6, ,    -8.2, ,     6.4, ,   -10.8, ,     7.5, ,    19.8, ,     8.6, 
 1946,    -9.8, ,   -11.8, ,     3.6, ,     5.7, ,    12.0, ,    18.5, ,    21.0, ,    18.5, ,    16.9, ,    10.4, ,     3.1, ,    -5.7, ,     6.9, ,    -9.9, ,     7.1, ,    19.3, ,    10.1, 
 1947,    -8.6, ,   -10.0, ,    -1.7, ,     3.4, ,    10.8, ,    17.4, ,    21.8, ,    22.5, ,    15.6, ,    12.8, ,     1.2, ,    -8.5, ,     6.4, ,    -8.1, ,     4.2, ,    20.6, ,     9.9, 
 1948,   -11.8, ,   -10.9, ,    -2.9, ,     6.4, ,    12.3, ,    17.7, ,    21.7, ,    21.5, ,    17.4, ,     8.8, ,     5.8, ,    -2.9, ,     6.9, ,   -10.4, ,     5.3, ,    20.3, ,    10.7, 
 1949,    -6.1, ,    -6.1, ,    -2.9, ,     7.0, ,    13.3, ,    20.3, ,    22.5, ,    21.6, ,    14.8, ,    11.4, ,    -0.3, ,    -3.7, ,     7.7, ,    -5.0, ,     5.8, ,    21.5, ,     8.6, 
 1950,    -5.3, ,   -10.8, ,    -6.5, ,     4.1, ,    13.2, ,    18.6, ,    20.9, ,    18.8, ,    13.3, ,     9.5, ,     3.4, ,    -5.7, ,     6.1, ,    -6.6, ,     3.6, ,    19.4, ,     8.7, 
