704C64L,LAC EON             ,QUE , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to 2022
704C64L,LAC EON             ,QUE , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a 2022
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1992, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -15.3,E, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1993,   -19.8,E,   -22.7,E,   -13.0,E,    -3.0,E,     2.9,E,     8.9,E,    12.4,E,    12.1,E, -9999.9,M,    -1.9,E,    -9.0,E,   -14.5,E, -9999.9,M,   -19.3,E,    -4.4,E,    11.1,E, -9999.9,M
 1994,   -22.7,E,   -20.7,E,   -11.2,E,    -6.5,E,     1.5,E,    10.8,E, -9999.9,M,    10.7,E,     7.5,E,     3.1,E,    -6.0,E,   -15.4,E, -9999.9,M,   -19.3,E,    -5.4,E, -9999.9,M,     1.5,E
 1995,   -21.3,E,   -22.0,E,   -12.6,E,    -2.7,E,     4.4,E,     9.9,E,    14.5,E,    13.0,E,     7.0,E,     2.7,E,    -8.0,E,   -15.8, ,    -2.6,E,   -19.6,E,    -3.6,E,    12.5,E,     0.6,E
 1996,   -20.5, ,   -15.3,E,   -11.9,E,    -1.0,E,     1.1,E,    10.4,E,    12.6, ,    14.3, ,     7.4,E,     0.1,E,    -5.6,E,   -11.8, ,    -1.7,E,   -17.2,E,    -3.9,E,    12.4,E,     0.6,E
 1997,   -17.9,E,   -20.8,E,   -16.0, ,    -5.4,E,     1.5, ,     8.5, ,    12.4, ,    12.0,E, -9999.9,M, -9999.9,M, -9999.9,M,   -14.5,E, -9999.9,M,   -16.8,E,    -6.6,E,    11.0,E, -9999.9,M
 1998,   -17.7,E,   -13.1, ,   -11.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    12.9,E,     7.1, ,     0.8, ,    -7.5, ,   -13.8,E, -9999.9,M,   -15.1,E, -9999.9,M, -9999.9,M,     0.1, 
 1999,   -19.4,E, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 2000, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 2001, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 2002, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -14.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 2003,   -17.7, ,   -20.7, ,   -14.9,E,    -6.0,E,     5.0,E, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -4.9,E,   -12.9,E, -9999.9,M,   -17.6, ,    -5.3,E, -9999.9,M, -9999.9,M
